date,selection,odds,prob,ev,stake,result,gross_pnl,commission,net_pnl,bankroll
2023-01-14,D,3.97,0.301,0.197,33.09,LOSS,-33.09,0.0,-33.09,966.91
2023-01-14,A,5.25,0.212,0.114,12.96,LOSS,-12.96,0.0,-12.96,953.95
2023-01-15,H,1.65,0.681,0.121,47.7,WIN,30.16,0.62,30.16,984.11
2023-01-15,A,2.17,0.501,0.088,36.86,WIN,42.31,0.86,42.31,1026.42
2023-01-18,A,1.79,0.605,0.085,51.32,LOSS,-51.32,0.0,-51.32,975.1
2023-01-19,A,8.12,0.146,0.187,12.77,LOSS,-12.77,0.0,-12.77,962.33
2023-01-21,D,3.76,0.347,0.307,48.12,WIN,130.24,2.66,130.24,1092.58
2023-01-21,A,2.73,0.46,0.254,54.63,LOSS,-54.63,0.0,-54.63,1037.95
2023-01-22,A,2.89,0.458,0.322,51.9,LOSS,-51.9,0.0,-51.9,986.05
2023-01-22,D,3.77,0.34,0.284,49.3,LOSS,-49.3,0.0,-49.3,936.75
2023-01-23,H,3.25,0.377,0.225,46.84,LOSS,-46.84,0.0,-46.84,889.91
2023-02-03,A,5.43,0.211,0.144,14.5,LOSS,-14.5,0.0,-14.5,875.41
2023-02-04,H,8.22,0.143,0.173,10.5,WIN,74.29,1.52,74.29,949.71
2023-02-04,D,5.13,0.21,0.079,9.11,LOSS,-9.11,0.0,-9.11,940.59
2023-02-05,H,4.39,0.298,0.307,42.65,WIN,141.61,2.89,141.61,1082.2
2023-02-05,A,2.7,0.39,0.053,16.84,LOSS,-16.84,0.0,-16.84,1065.36
2023-02-08,A,6.35,0.187,0.185,18.41,LOSS,-18.41,0.0,-18.41,1046.95
2023-02-11,H,6.44,0.289,0.858,52.35,LOSS,-52.35,0.0,-52.35,994.6
2023-02-11,A,2.12,0.651,0.377,49.73,LOSS,-49.73,0.0,-49.73,944.87
2023-02-12,D,6.42,0.17,0.093,8.13,LOSS,-8.13,0.0,-8.13,936.74
2023-02-12,A,1.91,0.551,0.052,26.83,WIN,23.92,0.49,23.92,960.66
2023-02-13,A,6.16,0.199,0.225,20.95,LOSS,-20.95,0.0,-20.95,939.71
2023-02-15,A,2.41,0.472,0.137,45.59,WIN,62.88,1.28,62.88,1002.59
2023-02-15,H,2.91,0.355,0.034,8.9,LOSS,-8.9,0.0,-8.9,993.69
2023-02-18,H,9.85,0.155,0.525,29.46,LOSS,-29.46,0.0,-29.46,964.23
2023-02-18,A,9.01,0.153,0.374,22.52,WIN,176.78,3.61,176.78,1141.0
2023-02-24,H,2.52,0.407,0.026,9.77,LOSS,-9.77,0.0,-9.77,1131.24
2023-02-25,A,4.94,0.223,0.102,14.59,LOSS,-14.59,0.0,-14.59,1116.64
2023-02-25,A,2.97,0.359,0.065,18.42,WIN,35.56,0.73,35.56,1152.2
2023-02-26,H,2.51,0.479,0.205,57.61,WIN,85.47,1.74,85.47,1237.68
2023-03-01,A,9.41,0.115,0.078,5.71,LOSS,-5.71,0.0,-5.71,1231.97
2023-03-01,H,1.48,0.726,0.076,61.6,WIN,29.14,0.59,29.14,1261.11
2023-03-04,A,2.63,0.49,0.288,63.06,LOSS,-63.06,0.0,-63.06,1198.05
2023-03-04,A,6.83,0.186,0.267,27.45,LOSS,-27.45,0.0,-27.45,1170.61
2023-03-05,H,2.38,0.535,0.271,58.53,WIN,78.99,1.61,78.99,1249.6
2023-03-05,H,2.67,0.386,0.03,11.32,LOSS,-11.32,0.0,-11.32,1238.28
2023-03-06,H,1.99,0.564,0.125,61.91,WIN,60.28,1.23,60.28,1298.55
2023-03-11,H,9.12,0.173,0.578,46.17,LOSS,-46.17,0.0,-46.17,1252.39
2023-03-11,D,5.02,0.249,0.252,39.25,LOSS,-39.25,0.0,-39.25,1213.13
2023-03-12,A,9.05,0.157,0.42,31.61,LOSS,-31.61,0.0,-31.61,1181.53
2023-03-12,H,5.79,0.2,0.158,19.5,LOSS,-19.5,0.0,-19.5,1162.03
2023-03-15,A,7.55,0.171,0.288,25.57,LOSS,-25.57,0.0,-25.57,1136.46
2023-03-15,D,4.35,0.29,0.263,44.48,LOSS,-44.48,0.0,-44.48,1091.97
2023-03-17,H,5.57,0.211,0.176,21.09,LOSS,-21.09,0.0,-21.09,1070.88
2023-03-18,A,7.57,0.164,0.239,19.46,LOSS,-19.46,0.0,-19.46,1051.42
2023-03-18,D,3.64,0.297,0.079,15.78,WIN,40.8,0.83,40.8,1092.22
2023-03-19,D,5.73,0.206,0.178,20.6,LOSS,-20.6,0.0,-20.6,1071.62
2023-04-01,D,4.14,0.418,0.731,53.58,LOSS,-53.58,0.0,-53.58,1018.04
2023-04-01,A,5.16,0.226,0.167,20.44,LOSS,-20.44,0.0,-20.44,997.59
2023-04-02,A,4.97,0.228,0.131,16.47,LOSS,-16.47,0.0,-16.47,981.12
2023-04-03,A,2.19,0.566,0.239,49.06,LOSS,-49.06,0.0,-49.06,932.07
2023-04-04,A,2.78,0.405,0.126,33.0,WIN,57.49,1.17,57.49,989.56
2023-04-04,A,3.23,0.345,0.112,24.96,LOSS,-24.96,0.0,-24.96,964.6
2023-04-05,H,1.64,0.665,0.094,48.23,WIN,30.42,0.62,30.42,995.02
2023-04-05,A,2.14,0.509,0.087,38.03,WIN,42.31,0.86,42.31,1037.33
2023-04-08,D,6.02,0.207,0.243,25.17,LOSS,-25.17,0.0,-25.17,1012.16
2023-04-08,D,4.03,0.29,0.169,28.23,LOSS,-28.23,0.0,-28.23,983.93
2023-04-09,H,2.77,0.414,0.145,40.51,LOSS,-40.51,0.0,-40.51,943.42
2023-04-09,D,3.36,0.338,0.133,26.69,LOSS,-26.69,0.0,-26.69,916.72
2023-04-15,A,2.67,0.484,0.291,45.84,WIN,74.84,1.53,74.84,991.57
2023-04-15,D,3.34,0.348,0.164,34.8,LOSS,-34.8,0.0,-34.8,956.77
2023-04-16,A,1.67,0.664,0.107,47.84,WIN,31.22,0.64,31.22,987.99
