iter	MultiClass
0	1.092092442
1	1.083774219
2	1.075867334
3	1.069234599
4	1.062419252
5	1.055819689
6	1.04949183
7	1.042994518
8	1.036867448
9	1.031446715
10	1.025980143
11	1.020228554
12	1.01565863
13	1.011404807
14	1.007336416
15	1.003250268
16	0.9982210553
17	0.9942592194
18	0.9907604449
19	0.986380421
20	0.9826189342
21	0.9789735113
22	0.9756530802
23	0.9727811888
24	0.969149527
25	0.9660744439
26	0.9639254032
27	0.9610316659
28	0.958363643
29	0.955736326
30	0.9532345144
31	0.9509461255
32	0.9485907103
33	0.9465971263
34	0.9443301102
35	0.9414880945
36	0.9392283641
37	0.9370316236
38	0.9352735964
39	0.933418622
40	0.9310146806
41	0.9291402382
42	0.9269284514
43	0.924750488
44	0.9238780828
45	0.9220049518
46	0.9203803671
47	0.918826076
48	0.9171264987
49	0.9158697886
50	0.914443691
51	0.9131863014
52	0.9108429335
53	0.9090972952
54	0.9079778481
55	0.9064121643
56	0.9051617125
57	0.9034916658
58	0.9017692448
59	0.9004829014
60	0.8989252543
61	0.8978894502
62	0.8964196292
63	0.8955227901
64	0.8943327761
65	0.8929150644
66	0.891933462
67	0.8906332446
68	0.8895197262
69	0.8883603395
70	0.8870464159
71	0.8858443381
72	0.8848422601
73	0.8839566715
74	0.8830028461
75	0.8809866058
76	0.879145376
77	0.8777234183
78	0.8767727323
79	0.8756863892
80	0.873753043
81	0.8727105613
82	0.8710095765
83	0.8694487076
84	0.8686355851
85	0.8675561553
86	0.8668838224
87	0.8653635012
88	0.864483501
89	0.863114092
90	0.8618601947
91	0.8609195664
92	0.859949901
93	0.8587770846
94	0.8576772285
95	0.856097502
96	0.8549154418
97	0.8539579301
98	0.8528106779
99	0.8517346696
100	0.8512676024
101	0.8500310808
102	0.849112562
103	0.8480804489
104	0.8468358529
105	0.8459154167
106	0.8450021723
107	0.843926577
108	0.8430539276
109	0.8422170105
110	0.8414312843
111	0.8403481846
112	0.8397385596
113	0.8395914025
114	0.8385405426
115	0.8373508994
116	0.8365858596
117	0.8359180329
118	0.8349756912
119	0.8344810332
120	0.8338388007
121	0.8326331792
122	0.8317853256
123	0.8307959782
124	0.8300395597
125	0.8292966914
126	0.8290480833
127	0.8280563582
128	0.8270403796
129	0.8254394418
130	0.8246119236
131	0.82401676
132	0.8225689393
133	0.8215821473
134	0.820865398
135	0.8199216492
136	0.818960546
137	0.8182487355
138	0.8172015241
139	0.8163517854
140	0.8156983153
141	0.8152392117
142	0.8139785619
143	0.8132902873
144	0.8125910651
145	0.8111097065
146	0.8105782587
147	0.8094261735
148	0.8087747777
149	0.8077823016
150	0.8069954212
151	0.8064104963
152	0.8056255592
153	0.8047780837
154	0.8038482283
155	0.8032873701
156	0.8025121808
157	0.8015007834
158	0.8011380203
159	0.7998676294
160	0.7985704848
161	0.7976673425
162	0.7968951921
163	0.7962946839
164	0.7958095931
165	0.7952684515
166	0.7939658698
