iter	Passed	Remaining
0	61	61678
1	62	31263
2	63	21074
3	64	15980
4	64	12923
5	65	10896
6	66	9460
7	67	8399
8	68	7555
9	69	6872
10	70	6315
11	70	5845
12	71	5452
13	72	5112
14	73	4821
15	74	4564
16	75	4349
17	76	4150
18	76	3972
19	77	3807
20	78	3659
21	79	3521
22	79	3395
23	80	3279
24	81	3172
25	82	3074
26	82	2984
27	83	2901
28	84	2823
29	85	2749
30	85	2680
31	86	2615
32	87	2554
33	87	2497
34	88	2443
35	89	2393
36	90	2345
37	90	2299
38	91	2260
39	92	2219
40	93	2179
41	94	2144
42	94	2109
43	95	2074
44	96	2042
45	96	2010
46	97	1981
47	98	1953
48	99	1926
49	100	1900
50	100	1875
51	101	1850
52	102	1826
53	102	1804
54	103	1782
55	104	1760
56	105	1740
57	105	1721
58	106	1702
59	107	1684
60	108	1666
61	108	1648
62	109	1632
63	110	1615
64	111	1600
65	112	1585
66	112	1569
67	113	1554
68	114	1540
69	114	1525
70	115	1514
71	116	1501
72	117	1489
73	118	1476
74	118	1464
75	119	1453
76	120	1442
77	121	1431
78	121	1421
79	122	1410
80	123	1399
81	124	1390
82	124	1380
83	125	1370
84	126	1362
85	127	1353
86	128	1343
87	128	1334
88	129	1325
89	130	1316
90	130	1307
91	131	1299
92	132	1291
93	133	1282
94	133	1274
95	134	1266
96	135	1258
97	135	1251
98	136	1243
99	137	1236
100	138	1229
101	138	1222
102	139	1217
103	140	1210
104	141	1204
105	142	1198
106	142	1191
107	143	1185
108	144	1178
109	145	1174
110	146	1169
111	146	1163
112	147	1158
113	148	1153
114	149	1148
115	150	1143
116	150	1138
117	151	1133
118	152	1127
119	153	1122
120	153	1116
121	154	1111
122	155	1106
123	156	1102
124	156	1097
125	157	1093
126	158	1088
127	159	1084
128	159	1079
129	160	1074
130	161	1070
131	162	1065
132	162	1060
133	163	1056
134	164	1051
135	164	1048
136	165	1044
137	166	1040
138	167	1035
139	168	1032
