odds_home,odds_draw,odds_away,implied_home,implied_draw,implied_away,no_vig_home,no_vig_draw,no_vig_away,market_overround,line_dispersion_home,line_dispersion_draw,line_dispersion_away,book_count,elo_home,elo_away,elo_diff,form_pts_home_l5,form_pts_away_l5,form_gf_home_l5,form_gf_away_l5,form_ga_home_l5,form_ga_away_l5,rest_days_home,rest_days_away,league,home_team,away_team,label,kickoff_time
2.37,3.36,3.24,0.42194092827004215,0.2976190476190476,0.30864197530864196,0.41036775681910703,0.2894558284706201,0.30017641471027273,1.0282019511977318,0.04847679857416331,0.06869315832017042,0.058309518948452904,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Bournemouth,West Brom,1,2021-08-06
1.51,4.62,6.82,0.6622516556291391,0.21645021645021645,0.14662756598240467,0.6458915847388833,0.21110309371335795,0.1430053215477586,1.0253294380617604,0.03640054944640263,0.14306903927824494,0.22045407685048604,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,ligue1,Monaco,Nantes,1,2021-08-06
2.1,3.36,3.94,0.47619047619047616,0.2976190476190476,0.25380710659898476,0.4633931196706851,0.2896206997941782,0.2469861805351367,1.0276166304085086,0.035619517121937554,0.0665206734782503,0.10133484099755623,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Stoke,Reading,0,2021-08-07
11.77,6.04,1.28,0.08496176720475786,0.16556291390728478,0.78125,0.08234527243214225,0.16046421465667457,0.7571905129111831,1.0317746811120427,0.8198475468036724,0.15039531242695034,0.021650635094610984,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,ligue1,Troyes,Paris SG,2,2021-08-07
2.3,3.26,3.48,0.4347826086956522,0.3067484662576687,0.28735632183908044,0.42257550248074266,0.2981360907072724,0.279288406811985,1.0288873967924013,0.07123903424387495,0.09433981132056597,0.14404860290887922,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Cardiff,Barnsley,1,2021-08-07
2.27,3.39,3.35,0.44052863436123346,0.2949852507374631,0.29850746268656714,0.42603437086167245,0.2852796524648957,0.28868597667343177,1.0340213477852638,0.06284902544988265,0.04636809247747863,0.05315072906367339,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Bristol City,Blackpool,1,2021-08-07
2.18,3.38,3.65,0.4587155963302752,0.2958579881656805,0.273972602739726,0.4459844409740298,0.28764676962230323,0.2663687894036671,1.0285461872356816,0.059160797830996044,0.04743416490252569,0.13102957681378663,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Blackburn,Swansea,0,2021-08-07
2.26,3.6,3.25,0.4424778761061947,0.2777777777777778,0.3076923076923077,0.43044773922960894,0.2702255251830323,0.29932673558735884,1.02794796157628,0.07495832175282463,0.0978199877325693,0.10606601717798211,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Luton,Peterboro,0,2021-08-07
2.12,3.43,3.76,0.4716981132075471,0.29154518950437314,0.26595744680851063,0.4583149724942785,0.2832733940780963,0.25841163342762513,1.029200749520431,0.05024937810560449,0.061032778078668505,0.10392304845413251,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,QPR,Millwall,1,2021-08-07
4.71,3.81,1.76,0.21231422505307856,0.26246719160104987,0.5681818181818182,0.2035682735129917,0.25165526725621806,0.5447764592307903,1.0429632348359466,0.1823972313386363,0.08602325267042635,0.03631459761583491,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Derby,Huddersfield,1,2021-08-07
2.41,3.32,3.21,0.41493775933609955,0.30120481927710846,0.3115264797507788,0.4037659360851692,0.29309515239917405,0.30313891151565664,1.027669058363987,0.07595228765481665,0.06647367900154164,0.06745368781616014,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Preston,Hull,2,2021-08-07
1.83,3.5,4.91,0.5464480874316939,0.2857142857142857,0.20366598778004072,0.5275469450780192,0.2758316884265072,0.19662136649547357,1.0358283609260204,0.05315072906367322,0.0544862367942584,0.14754236679679517,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,championship,Sheffield United,Birmingham,2,2021-08-07
1.35,5.95,8.71,0.7407407407407407,0.1680672268907563,0.11481056257175659,0.7236492100173845,0.16418931655856622,0.11216147342404925,1.0236185302032537,0.014790199457749054,0.5109305236526783,0.46429381861058666,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,ligue1,Lyon,Brest,1,2021-08-07
5.8,3.44,1.78,0.1724137931034483,0.29069767441860467,0.5617977528089888,0.1682234774390646,0.2836326073100508,0.5481439152508847,1.0249092203310417,0.268421310629391,0.14956186011146028,0.03840572873934307,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,ligue1,Metz,Lille,1,2021-08-08
2.27,3.64,3.26,0.44052863436123346,0.2747252747252747,0.3067484662576687,0.4310446286515507,0.2688107986370934,0.30014457271135586,1.022002375344177,0.022912878474779075,0.16422164899914998,0.05385164807134488,4.0,1500.0,1500.0,0.0,1.5,1.5,1.5,1.5,1.3,1.3,7.0,7.0,ligue1,St Etienne,Lorient,1,2021-08-08
