bin,mean_pred,mean_actual,count,class
0.0-0.1,0.05,,0,Home
0.1-0.2,0.1708158817718768,0.14285714285714285,70,Home
0.2-0.3,0.2519788332660196,0.21359223300970873,206,Home
0.3-0.4,0.35520813464009954,0.34507042253521125,142,Home
0.4-0.5,0.4474600751290785,0.40816326530612246,196,Home
0.5-0.6,0.5488160894853529,0.4881889763779528,127,Home
0.6-0.7,0.6517883031519248,0.6538461538461539,130,Home
0.7-0.8,0.7351175975120104,0.7087378640776699,103,Home
0.8-0.9,0.802042745971913,1.0,1,Home
0.9-1.0,0.95,,0,Home
